2024/11/27 11:27:37 [alert] 1152#0: *3504 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: ::1, server: [::1]:10014
2024/11/27 11:27:37 [alert] 1152#0: *3505 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: ::1, server: [::1]:10014
2024/11/27 11:45:03 [alert] 1152#0: *4235 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: ::1, server: [::1]:10014
2024/11/27 11:45:03 [alert] 1152#0: *4236 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: ::1, server: [::1]:10014
2024/11/30 11:27:53 [alert] 2024#0: *9149 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: ::1, server: [::1]:10014
2024/11/30 22:32:19 [alert] 2024#0: *14330 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: ::1, server: [::1]:10014
2024/12/02 13:26:20 [alert] 25366#0: *4485 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: ::1, server: [::1]:10014
2024/12/04 11:47:59 [alert] 33698#0: *11258 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: ::1, server: [::1]:10014
2024/12/04 12:12:14 [alert] 33698#0: *12326 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: ::1, server: [::1]:10014
2024/12/04 12:12:14 [alert] 33698#0: *12333 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: ::1, server: [::1]:10014
2024/12/05 09:25:42 [alert] 1306#0: *973 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: ::1, server: [::1]:10014
2024/12/05 09:25:42 [alert] 1306#0: *978 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: ::1, server: [::1]:10014
2024/12/05 09:25:42 [alert] 1306#0: *980 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: ::1, server: [::1]:10014
2024/12/06 11:14:17 [alert] 11957#0: *3774 setsockopt(TCP_NODELAY) failed (22: Invalid argument) while keepalive, client: ::1, server: [::1]:10014
